種類,負載,效率
C,0.5,45.28
C,0.6,50.12
C,0.7,54.04
C,0.8,57.12
C,0.9,59.09
C,1,61.28
C,1.1,62.66
C,1.2,65.18
C,1.3,66.59
C,1.4,68.56
C,1.5,68.98
C,1.6,70.01
C,1.7,71.22
C,1.8,72.31
C,1.9,73.18
C,2,73.59
C,2.1,74.32
C,2.2,74.86
C,2.3,75.62
C,2.4,75.68
C,2.5,76.32
C,2.6,76.92
C,2.7,77.11
C,2.8,77.19
C,2.9,77.82
C,3,77.9
D,0.5,56.92
D,0.6,61.17
D,0.7,64.48
D,0.8,66.51
D,0.9,69.4
D,1,71.25
D,1.1,73.19
D,1.2,74.49
D,1.3,75.42
D,1.4,76.09
D,1.5,77.32
D,1.6,78.18
D,1.7,79.07
D,1.8,79.22
D,1.9,80.29
D,2,80.45
D,2.1,81.22
D,2.2,81.32
D,2.3,81.48
D,2.4,81.82
D,2.5,82.49
D,2.6,82.62
D,2.7,82.72
D,2.8,83.1
D,2.9,83.31
D,3,83.42
E,0.5,58.44
E,0.6,62.22
E,0.7,65.16
E,0.8,67.98
E,0.9,70.47
E,1,72.45
E,1.1,73.39
E,1.2,73.69
E,1.3,77.54
E,1.4,77.4
E,1.5,78.03
E,1.6,79.11
E,1.7,80.05
E,1.8,80.13
E,1.9,80.59
E,2,81.13
E,2.1,81.78
E,2.2,82.02
E,2.3,82.63
E,2.4,82.87
E,2.5,82.93
E,2.6,82.98
E,2.7,83.24
E,2.8,83.36
E,2.9,83.76
E,3,84.19
D,0.5,56.29
D,0.6,61.65
D,0.7,63.73
D,0.8,67.27
D,0.9,69.22
D,1,71.35
D,1.1,72.6
D,1.2,73.72
D,1.3,75.25
D,1.4,77.1
D,1.5,78.19
D,1.6,78.25
D,1.7,79.02
D,1.8,79.42
D,1.9,79.53
D,2,80.1
D,2.1,80.64
D,2.2,81
D,2.3,81.73
D,2.4,81.92
D,2.5,82.35
D,2.6,82.66
D,2.7,82.89
D,2.8,83.09
D,2.9,83.16
D,3,83.2
E,0.5,58.09
E,0.6,61.63
E,0.7,65.6
E,0.8,68.37
E,0.9,70.38
E,1,72.38
E,1.1,73.38
E,1.2,75.06
E,1.3,76.63
E,1.4,77
E,1.5,78.5
E,1.6,79.25
E,1.7,79.68
E,1.8,80.57
E,1.9,80.76
E,2,81.51
E,2.1,81.91
E,2.2,82.12
E,2.3,82.31
E,2.4,82.44
E,2.5,82.98
E,2.6,83.33
E,2.7,83.53
E,2.8,83.7
E,2.9,83.84
E,3,83.96
H,0.5,64.35
H,0.6,67.09
H,0.7,70.96
H,0.8,73.49
H,0.9,75.28
H,1,77.05
H,1.1,78.49
H,1.2,79.56
H,1.3,80.64
H,1.4,81.57
H,1.5,82.26
H,1.6,82.94
H,1.7,83.54
H,1.8,84.08
H,1.9,84.47
H,2,84.89
H,2.1,85.27
H,2.2,85.59
H,2.3,85.85
H,2.4,86.11
H,2.5,86.31
H,2.6,86.52
H,2.7,86.67
H,2.8,86.85
H,2.9,86.99
H,3,87.09
H,0.5,64.34
H,0.6,67.74
H,0.7,70.92
H,0.8,73.46
H,0.9,75.21
H,1,76.97
H,1.1,78.42
H,1.2,79.5
H,1.3,80.58
H,1.4,81.51
H,1.5,82.17
H,1.6,82.87
H,1.7,83.47
H,1.8,83.93
H,1.9,84.37
H,2,84.82
H,2.1,85.15
H,2.2,85.48
H,2.3,85.78
H,2.4,86.05
H,2.5,86.25
H,2.6,86.45
H,2.7,86.6
H,2.8,86.77
H,2.9,86.92
H,3,87.04
H,0.5,64.02
H,0.6,67.41
H,0.7,70.69
H,0.8,72.9
H,0.9,75.02
H,1,76.81
H,1.1,78.28
H,1.2,79.3
H,1.3,80.26
H,1.4,81.38
H,1.5,82.06
H,1.6,82.78
H,1.7,83.38
H,1.8,83.85
H,1.9,84.34
H,2,84.76
H,2.1,84.6
H,2.2,85.43
H,2.3,85.73
H,2.4,85.93
H,2.5,86.2
H,2.6,86.42
H,2.7,86.45
H,2.8,86.81
H,2.9,86.89
H,3,87.29
H,0.5,64.18
H,0.6,67.64
H,0.7,70.87
H,0.8,73.4
H,0.9,75.19
H,1,76.96
H,1.1,78.43
H,1.2,79.49
H,1.3,80.58
H,1.4,81.32
H,1.5,81.82
H,1.6,83.22
H,1.7,83.96
H,1.8,83.69
H,1.9,83.87
H,2,84.88
H,2.1,85.2
H,2.2,85.55
H,2.3,85.83
H,2.4,86.25
H,2.5,86.3
H,2.6,86.51
H,2.7,86.66
H,2.8,86.84
H,2.9,86.99
H,3,87.09
H,0.5,64.02
H,0.6,68.01
H,0.7,70.72
H,0.8,73.28
H,0.9,74.91
H,1,76.85
H,1.1,78.33
H,1.2,79.25
H,1.3,80.48
H,1.4,81.4
H,1.5,82.2
H,1.6,82.81
H,1.7,83.41
H,1.8,83.86
H,1.9,84.37
H,2,84.92
H,2.1,84.91
H,2.2,85.47
H,2.3,85.71
H,2.4,86.04
H,2.5,86.23
H,2.6,86.24
H,2.7,86.32
H,2.8,86.78
H,2.9,86.93
H,3,86.98
G,0.5,60.19
G,0.6,63.95
G,0.7,67.26
G,0.8,69.98
G,0.9,71.98
G,1,73.63
G,1.1,75.54
G,1.2,76.19
G,1.3,78.26
G,1.4,79
G,1.5,79.9
G,1.6,81.06
G,1.7,81.29
G,1.8,81.82
G,1.9,82.39
G,2,82.89
G,2.1,83.34
G,2.2,83.69
G,2.3,84.05
G,2.4,84.37
G,2.5,84.61
G,2.6,84.88
G,2.7,85.08
G,2.8,85.66
G,2.9,85.49
G,3,85.65
G,0.5,59.15
G,0.6,63.01
G,0.7,66.97
G,0.8,69.74
G,0.9,71.74
G,1,73.7
G,1.1,75.34
G,1.2,76.55
G,1.3,77.76
G,1.4,78.84
G,1.5,79.75
G,1.6,80.43
G,1.7,80.96
G,1.8,81.42
G,1.9,82.28
G,2,82.78
G,2.1,83.23
G,2.2,83.63
G,2.3,83.94
G,2.4,84.07
G,2.5,84.32
G,2.6,84.77
G,2.7,84.98
G,2.8,85.21
G,2.9,85.4
G,3,85.57
H,0.5,64.41
H,0.6,68.39
H,0.7,71.06
H,0.8,74.19
H,0.9,74.49
H,1,77.94
H,1.1,78.59
H,1.2,79.63
H,1.3,80.72
H,1.4,81.62
H,1.5,82.3
H,1.6,82.99
H,1.7,83.6
H,1.8,84.07
H,1.9,84.93
H,2,85.37
H,2.1,85.34
H,2.2,85.66
H,2.3,85.91
H,2.4,86.13
H,2.5,86.31
H,2.6,86.56
H,2.7,86.89
H,2.8,86.9
H,2.9,87.05
H,3,87.14
H,0.5,64.55
H,0.6,69.64
H,0.7,71.16
H,0.8,73.69
H,0.9,75.46
H,1,78.16
H,1.1,78.65
H,1.2,79.7
H,1.3,80.54
H,1.4,82.5
H,1.5,82.46
H,1.6,83.04
H,1.7,83.63
H,1.8,84.56
H,1.9,84.38
H,2,85.17
H,2.1,85.31
H,2.2,85.47
H,2.3,85.92
H,2.4,85.53
H,2.5,86.38
H,2.6,86.57
H,2.7,86.74
H,2.8,86.79
H,2.9,87.07
H,3,87.16
G,0.5,60.5
G,0.6,64.16
G,0.7,67.54
G,0.8,70.28
G,0.9,72.66
G,1,74.15
G,1.1,75.77
G,1.2,77.15
G,1.3,78.17
G,1.4,79.2
G,1.5,79.98
G,1.6,80.8
G,1.7,81.5
G,1.8,82.05
G,1.9,82.58
G,2,83.4
G,2.1,83.47
G,2.2,83.72
G,2.3,84.22
G,2.4,84.64
G,2.5,84.78
G,2.6,85.04
G,2.7,85.04
G,2.8,85.44
G,2.9,85.63
G,3,85.79
G,0.5,60.34
G,0.6,64.39
G,0.7,67.75
G,0.8,70.47
G,0.9,72.45
G,1,74.36
G,1.1,75.96
G,1.2,77.56
G,1.3,78.33
G,1.4,79.38
G,1.5,79.84
G,1.6,80.92
G,1.7,81.61
G,1.8,82
G,1.9,82.69
G,2,83.19
G,2.1,83.57
G,2.2,83.97
G,2.3,84.32
G,2.4,84.36
G,2.5,84.87
G,2.6,85.13
G,2.7,85.36
G,2.8,85.52
G,2.9,85.71
G,3,85.85
H,0.5,64.43
H,0.6,68.94
H,0.7,71.08
H,0.8,73.61
H,0.9,75.21
H,1,77.37
H,1.1,78.61
H,1.2,79.67
H,1.3,81.42
H,1.4,81.66
H,1.5,82.59
H,1.6,82.26
H,1.7,83.65
H,1.8,84.18
H,1.9,84.58
H,2,84.88
H,2.1,85.39
H,2.2,85.66
H,2.3,85.95
H,2.4,86.1
H,2.5,86.08
H,2.6,86.61
H,2.7,86.78
H,2.8,86.94
H,2.9,87.1
H,3,87.13
H,0.5,64.52
H,0.6,67.96
H,0.7,70.98
H,0.8,74.08
H,0.9,75.75
H,1,77.21
H,1.1,78.44
H,1.2,79.74
H,1.3,80.83
H,1.4,81.71
H,1.5,82.4
H,1.6,83.1
H,1.7,83.69
H,1.8,84.74
H,1.9,83.88
H,2,85.1
H,2.1,85.42
H,2.2,85.69
H,2.3,85.99
H,2.4,86.25
H,2.5,86.44
H,2.6,86.65
H,2.7,86.81
H,2.8,86.97
H,2.9,87.11
H,3,87.02
H,0.5,64.6
H,0.6,67.52
H,0.7,71.19
H,0.8,73.2
H,0.9,75.44
H,1,77.18
H,1.1,78.64
H,1.2,79.7
H,1.3,80.77
H,1.4,81.67
H,1.5,82.35
H,1.6,83.05
H,1.7,83.63
H,1.8,84.09
H,1.9,84.87
H,2,85
H,2.1,85.35
H,2.2,85.63
H,2.3,85.93
H,2.4,86.15
H,2.5,86.57
H,2.6,86.58
H,2.7,86.72
H,2.8,86.68
H,2.9,87.06
H,3,87.17
H,0.5,64.58
H,0.6,68.02
H,0.7,71.71
H,0.8,73.66
H,0.9,75.76
H,1,77.23
H,1.1,77.97
H,1.2,79.72
H,1.3,80.81
H,1.4,81.7
H,1.5,82.38
H,1.6,83.5
H,1.7,83.67
H,1.8,84.19
H,1.9,84.39
H,2,85.19
H,2.1,85.38
H,2.2,85.65
H,2.3,86.11
H,2.4,86.06
H,2.5,86.54
H,2.6,86.61
H,2.7,86.76
H,2.8,86.94
H,2.9,87.07
H,3,87.16
H,0.5,64.27
H,0.6,67.97
H,0.7,71.16
H,0.8,73.99
H,0.9,75.46
H,1,77.56
H,1.1,78.48
H,1.2,79.89
H,1.3,80.8
H,1.4,81.71
H,1.5,82.49
H,1.6,83.07
H,1.7,83.67
H,1.8,83.98
H,1.9,84.73
H,2,85.01
H,2.1,85.39
H,2.2,85.67
H,2.3,86.3
H,2.4,86.18
H,2.5,86.42
H,2.6,86.63
H,2.7,86.8
H,2.8,86.83
H,2.9,87.08
H,3,87.2
F,0.5,57.25
F,0.6,61.7
F,0.7,64.83
F,0.8,67.33
F,0.9,70.04
F,1,72.76
F,1.1,74.1
F,1.2,75.69
F,1.3,76.71
F,1.4,77.88
F,1.5,78.86
F,1.6,79.49
F,1.7,80.21
F,1.8,80.81
F,1.9,81.48
F,2,81.65
F,2.1,82.46
F,2.2,82.87
F,2.3,83.28
F,2.4,83.61
F,2.5,83.8
F,2.6,84.26
F,2.7,84.67
F,2.8,84.65
F,2.9,85.04
F,3,85.15
K,0.5,65.25
K,0.6,68.77
K,0.7,71.21
K,0.8,75.08
K,0.9,76.6
K,1,78.3
K,1.1,79.71
K,1.2,80.93
K,1.3,81.96
K,1.4,82.03
K,1.5,83.2
K,1.6,83.42
K,1.7,84.34
K,1.8,84.82
K,1.9,85.3
K,2,85.31
K,2.1,85.96
K,2.2,86.23
K,2.3,86.3
K,2.4,86.42
K,2.5,86.5
K,2.6,86.99
K,2.7,86.96
K,2.8,87.55
K,2.9,87.57
K,3,87.68
K,0.5,65.42
K,0.6,68.24
K,0.7,70.9
K,0.8,74.12
K,0.9,76.61
K,1,77.65
K,1.1,78.5
K,1.2,79.99
K,1.3,81.3
K,1.4,82.03
K,1.5,83.07
K,1.6,83.16
K,1.7,83.84
K,1.8,84.84
K,1.9,85.17
K,2,85.87
K,2.1,86.11
K,2.2,86.49
K,2.3,86.62
K,2.4,86.66
K,2.5,86.83
K,2.6,86.88
K,2.7,87.26
K,2.8,87.57
K,2.9,87.54
K,3,87.67
K,0.5,65.29
K,0.6,68.55
K,0.7,72.03
K,0.8,73.95
K,0.9,75.99
K,1,78.27
K,1.1,78.95
K,1.2,80.16
K,1.3,81.16
K,1.4,82.01
K,1.5,82.65
K,1.6,83.39
K,1.7,84.2
K,1.8,84.6
K,1.9,84.98
K,2,85.34
K,2.1,85.64
K,2.2,85.98
K,2.3,86.28
K,2.4,86.53
K,2.5,87.07
K,2.6,87.34
K,2.7,87.41
K,2.8,87.49
K,2.9,87.55
K,3,87.89
K,0.5,65.25
K,0.6,68.36
K,0.7,71.6
K,0.8,73.74
K,0.9,76.02
K,1,77.56
K,1.1,78.84
K,1.2,79.17
K,1.3,81.04
K,1.4,81.89
K,1.5,82.62
K,1.6,83.73
K,1.7,84.23
K,1.8,84.45
K,1.9,84.84
K,2,85.29
K,2.1,85.91
K,2.2,85.96
K,2.3,86.25
K,2.4,86.59
K,2.5,86.65
K,2.6,87.13
K,2.7,87.29
K,2.8,87.36
K,2.9,87.52
K,3,87.58
K,0.5,65.25
K,0.6,68.67
K,0.7,71.48
K,0.8,74.25
K,0.9,76.04
K,1,77.8
K,1.1,79.05
K,1.2,80.88
K,1.3,81.3
K,1.4,82.03
K,1.5,83.07
K,1.6,83.4
K,1.7,84.07
K,1.8,84.54
K,1.9,84.99
K,2,85.34
K,2.1,85.64
K,2.2,86.02
K,2.3,86.29
K,2.4,86.49
K,2.5,86.73
K,2.6,86.96
K,2.7,87.24
K,2.8,87.29
K,2.9,87.42
K,3,87.54
K,0.5,65.3
K,0.6,69.39
K,0.7,71.93
K,0.8,74.31
K,0.9,76.06
K,1,77.69
K,1.1,79.25
K,1.2,80.24
K,1.3,81.2
K,1.4,82.81
K,1.5,83.03
K,1.6,83.58
K,1.7,83.87
K,1.8,84.92
K,1.9,85.13
K,2,85.62
K,2.1,85.74
K,2.2,86.19
K,2.3,86.23
K,2.4,86.34
K,2.5,86.41
K,2.6,86.95
K,2.7,86.99
K,2.8,87.12
K,2.9,87.27
K,3,87.47
J,0.5,64.57
J,0.6,68.98
J,0.7,71.14
J,0.8,73.69
J,0.9,75.44
J,1,78.25
J,1.1,78.55
J,1.2,79.83
J,1.3,80.78
J,1.4,81.8
J,1.5,82.36
J,1.6,83.14
J,1.7,83.97
J,1.8,84.23
J,1.9,84.65
J,2,85.13
J,2.1,85.82
J,2.2,85.94
J,2.3,86.03
J,2.4,86.29
J,2.5,86.69
J,2.6,86.72
J,2.7,87.06
J,2.8,87.12
J,2.9,87.28
J,3,87.53
J,0.5,63.56
J,0.6,67.67
J,0.7,70.4
J,0.8,72.27
J,0.9,75.04
J,1,76.48
J,1.1,77.61
J,1.2,79.05
J,1.3,80.14
J,1.4,80.68
J,1.5,82.43
J,1.6,82.47
J,1.7,82.92
J,1.8,83.64
J,1.9,84.17
J,2,84.65
J,2.1,84.68
J,2.2,85.32
J,2.3,85.62
J,2.4,85.81
J,2.5,86.06
J,2.6,86.3
J,2.7,86.5
J,2.8,86.65
J,2.9,86.82
J,3,86.94
J,0.5,64.21
J,0.6,67.89
J,0.7,70.51
J,0.8,73.19
J,0.9,75.35
J,1,76.88
J,1.1,78.49
J,1.2,79.86
J,1.3,80.65
J,1.4,82.08
J,1.5,82.19
J,1.6,83.51
J,1.7,83.91
J,1.8,84.19
J,1.9,84.25
J,2,84.93
J,2.1,84.98
J,2.2,85.58
J,2.3,85.82
J,2.4,86.23
J,2.5,86.35
J,2.6,86.45
J,2.7,86.57
J,2.8,86.87
J,2.9,87.09
J,3,87.15
K,0.5,65.17
K,0.6,68.18
K,0.7,71.49
K,0.8,73.93
K,0.9,75.66
K,1,77.96
K,1.1,78.69
K,1.2,79.92
K,1.3,81.02
K,1.4,81.96
K,1.5,82.61
K,1.6,83.3
K,1.7,84.03
K,1.8,84.59
K,1.9,84.82
K,2,85.2
K,2.1,85.66
K,2.2,85.94
K,2.3,86.17
K,2.4,86.57
K,2.5,86.78
K,2.6,86.94
K,2.7,87.16
K,2.8,87.19
K,2.9,87.39
K,3,87.56
K,0.5,65.17
K,0.6,68.02
K,0.7,72.44
K,0.8,73.21
K,0.9,76.67
K,1,77.6
K,1.1,78.62
K,1.2,81.38
K,1.3,81.52
K,1.4,81.87
K,1.5,82.79
K,1.6,83.85
K,1.7,84.73
K,1.8,84.91
K,1.9,85.12
K,2,85.59
K,2.1,86.42
K,2.2,86.61
K,2.3,86.69
K,2.4,86.7
K,2.5,86.9
K,2.6,87.1
K,2.7,87.29
K,2.8,87.4
K,2.9,87.41
K,3,87.66
J,0.5,63.57
J,0.6,67.39
J,0.7,70.59
J,0.8,72.2
J,0.9,73.2
J,1,76.6
J,1.1,77.61
J,1.2,78.07
J,1.3,80.3
J,1.4,80.69
J,1.5,81.87
J,1.6,82.42
J,1.7,83.41
J,1.8,83.61
J,1.9,84.19
J,2,84.78
J,2.1,85.19
J,2.2,85.27
J,2.3,85.67
J,2.4,86.02
J,2.5,86.35
J,2.6,86.56
J,2.7,86.67
J,2.8,86.69
J,2.9,86.79
J,3,86.85
I,0.5,61.2
I,0.6,64.83
I,0.7,67.64
I,0.8,70.01
I,0.9,73.02
I,1,75.34
I,1.1,76.72
I,1.2,77.5
I,1.3,77.86
I,1.4,79.24
I,1.5,79.74
I,1.6,81.48
I,1.7,81.67
I,1.8,82.37
I,1.9,83.46
I,2,84.17
I,2.1,84.56
I,2.2,84.79
I,2.3,85.13
I,2.4,85.18
I,2.5,85.25
I,2.6,85.59
I,2.7,85.84
I,2.8,85.93
I,2.9,86.06
I,3,86.11
J,0.5,63.06
J,0.6,67.27
J,0.7,70.2
J,0.8,73.96
J,0.9,74.13
J,1,77.22
J,1.1,77.58
J,1.2,78.04
J,1.3,79.26
J,1.4,80.52
J,1.5,82.78
J,1.6,82.84
J,1.7,83.5
J,1.8,83.57
J,1.9,83.73
J,2,84.87
J,2.1,85.01
J,2.2,85.5
J,2.3,85.87
J,2.4,86.07
J,2.5,86.26
J,2.6,86.39
J,2.7,86.6
J,2.8,86.71
J,2.9,86.94
J,3,87.04
K,0.5,65.08
K,0.6,68.37
K,0.7,71.67
K,0.8,73.89
K,0.9,76.46
K,1,77.32
K,1.1,78.88
K,1.2,80.02
K,1.3,80.97
K,1.4,81.95
K,1.5,82.76
K,1.6,83.31
K,1.7,83.82
K,1.8,84.34
K,1.9,84.87
K,2,85.35
K,2.1,85.6
K,2.2,86.01
K,2.3,86.67
K,2.4,86.73
K,2.5,87
K,2.6,87.12
K,2.7,87.29
K,2.8,87.4
K,2.9,87.59
K,3,87.65
K,0.5,64.66
K,0.6,68.41
K,0.7,71.67
K,0.8,74.16
K,0.9,75.82
K,1,77.28
K,1.1,78.98
K,1.2,80.38
K,1.3,81.08
K,1.4,81.76
K,1.5,82.92
K,1.6,83.61
K,1.7,84.31
K,1.8,84.42
K,1.9,84.89
K,2,85.22
K,2.1,85.68
K,2.2,86.1
K,2.3,86.24
K,2.4,86.51
K,2.5,86.62
K,2.6,86.98
K,2.7,87.3
K,2.8,87.35
K,2.9,87.48
K,3,87.63
J,0.5,64.26
J,0.6,67.49
J,0.7,70.94
J,0.8,73.33
J,0.9,75.5
J,1,77.25
J,1.1,78.09
J,1.2,79.49
J,1.3,80.57
J,1.4,81.18
J,1.5,82.86
J,1.6,83.06
J,1.7,83.54
J,1.8,84.18
J,1.9,84.46
J,2,84.78
J,2.1,85.34
J,2.2,86.19
J,2.3,86.31
J,2.4,86.49
J,2.5,86.69
J,2.6,86.81
J,2.7,86.92
J,2.8,87.2
J,2.9,87.23
J,3,87.29
J,0.5,63.18
J,0.6,66.07
J,0.7,70.06
J,0.8,72.16
J,0.9,74.14
J,1,76.94
J,1.1,77.6
J,1.2,78.74
J,1.3,79.88
J,1.4,80.8
J,1.5,81.65
J,1.6,83.23
J,1.7,83.75
J,1.8,84.02
J,1.9,84.34
J,2,84.65
J,2.1,84.7
J,2.2,85.49
J,2.3,85.54
J,2.4,85.7
J,2.5,85.88
J,2.6,86.32
J,2.7,86.42
J,2.8,86.78
J,2.9,86.82
J,3,86.9
J,0.5,64.21
J,0.6,64.95
J,0.7,70.7
J,0.8,72.9
J,0.9,75.59
J,1,76.99
J,1.1,78.27
J,1.2,79.48
J,1.3,80.52
J,1.4,81.38
J,1.5,82.07
J,1.6,83.01
J,1.7,83.37
J,1.8,83.91
J,1.9,84.45
J,2,85.36
J,2.1,85.38
J,2.2,85.6
J,2.3,85.81
J,2.4,86.07
J,2.5,86.36
J,2.6,86.53
J,2.7,87.03
J,2.8,87.08
J,2.9,87.14
J,3,87.56
K,0.5,65.07
K,0.6,67.07
K,0.7,71.11
K,0.8,73.71
K,0.9,75.71
K,1,77.45
K,1.1,78.81
K,1.2,80.45
K,1.3,81.09
K,1.4,82.12
K,1.5,82.59
K,1.6,83.34
K,1.7,84.13
K,1.8,84.36
K,1.9,84.78
K,2,85.18
K,2.1,85.6
K,2.2,85.9
K,2.3,86.13
K,2.4,86.42
K,2.5,86.61
K,2.6,86.82
K,2.7,87.04
K,2.8,87.18
K,2.9,87.3
K,3,87.46
K,0.5,65.08
K,0.6,69.54
K,0.7,71.67
K,0.8,73.97
K,0.9,76.59
K,1,77.4
K,1.1,77.48
K,1.2,80.19
K,1.3,81.75
K,1.4,81.82
K,1.5,82.68
K,1.6,83.4
K,1.7,83.84
K,1.8,84.39
K,1.9,85.26
K,2,85.3
K,2.1,85.59
K,2.2,85.95
K,2.3,86.39
K,2.4,86.46
K,2.5,87.01
K,2.6,87.18
K,2.7,87.22
K,2.8,87.24
K,2.9,87.38
K,3,87.5
K,0.5,65.13
K,0.6,68.76
K,0.7,71.7
K,0.8,74.75
K,0.9,76.02
K,1,77.93
K,1.1,79.77
K,1.2,80.16
K,1.3,81.97
K,1.4,82.23
K,1.5,83.2
K,1.6,83.58
K,1.7,84.06
K,1.8,84.56
K,1.9,84.98
K,2,85.31
K,2.1,85.81
K,2.2,86.06
K,2.3,86.34
K,2.4,86.54
K,2.5,86.79
K,2.6,86.98
K,2.7,87.15
K,2.8,87.35
K,2.9,87.45
K,3,87.85
K,0.5,65.04
K,0.6,66.38
K,0.7,70.06
K,0.8,72.16
K,0.9,74.13
K,1,76.94
K,1.1,77.17
K,1.2,78.74
K,1.3,79.88
K,1.4,80.8
K,1.5,81.35
K,1.6,82.11
K,1.7,82.95
K,1.8,84.02
K,1.9,84.64
K,2,84.65
K,2.1,84.7
K,2.2,85.49
K,2.3,85.39
K,2.4,85.7
K,2.5,85.88
K,2.6,86.57
K,2.7,86.33
K,2.8,86.69
K,2.9,86.66
K,3,86.9
K,0.5,65.12
K,0.6,68.98
K,0.7,71.57
K,0.8,74.07
K,0.9,76.18
K,1,77.6
K,1.1,79.07
K,1.2,79.83
K,1.3,81.18
K,1.4,81.99
K,1.5,82.78
K,1.6,83.5
K,1.7,84.12
K,1.8,84.48
K,1.9,85.1
K,2,85.64
K,2.1,85.81
K,2.2,85.92
K,2.3,86.36
K,2.4,86.69
K,2.5,86.86
K,2.6,87.11
K,2.7,87.13
K,2.8,87.29
K,2.9,87.48
K,3,87.5
K,0.5,65.04
K,0.6,68.5
K,0.7,71.4
